"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime', 'time_offset']"
23,15.806155539823608,9.478688196835757,-627.2726702516142,-0.6569353781498674,0.0,7,20,260,7,20,260,5.3363893032073975,0
24,15.347699286136665,9.223384812284177,-608.8498388879832,-0.6376413609506109,0.0,7,20,260,7,20,260,5.42729377746582,250
25,14.8862273037393,8.968171224718239,-590.7717255685154,-0.6187083629531095,0.0,7,20,260,7,20,260,5.544546604156494,250
26,14.424330286733188,8.720092876090584,-573.082225215939,-0.6001823547998408,0.0,7,20,260,7,20,260,5.62668514251709,250
27,13.98528839929209,8.464492995154474,-555.8227667147074,-0.5821067244800533,0.0,7,20,260,7,20,260,5.711181402206421,250
28,13.573177088288338,8.199949528305119,-539.0319486473403,-0.5645218958406703,0.0,7,20,260,7,20,260,5.794340372085571,250
29,13.118071626290815,7.93548858781636,-522.7452018514,-0.5474649751861319,0.0,7,20,260,7,20,260,5.941033124923706,249
30,12.736627494799164,7.679011880581394,-506.9944816823935,-0.5309694289889108,0.0,7,20,260,7,20,260,6.060400724411011,250
31,12.328578993723411,7.42850990847248,-491.8079925901876,-0.5150647954415913,0.0,7,20,260,7,20,260,6.143983840942383,250
32,11.996106876551753,7.198000071064118,-477.2099473167766,-0.49977643226749047,0.0,7,20,260,7,20,260,6.193883419036865,250
33,11.641014846466861,6.974056207488431,-463.22036270425565,-0.48512530287271993,0.0,7,20,260,7,20,260,6.244225263595581,249
34,11.319027355646044,6.761964815229891,-449.8548937665462,-0.4711278025714325,0.0,7,20,260,7,20,260,6.327149152755737,250
35,11.002221444416586,6.553120818715498,-437.12470732986503,-0.45779562625095427,0.0,7,20,260,7,20,260,6.459709644317627,250
36,10.67953421577711,6.354170971803115,-425.0363961883094,-0.4451356784679263,0.0,7,20,260,7,20,260,6.526940107345581,250
37,10.40704821072584,6.173598493046124,-413.59193435547627,-0.4331500265838443,0.0,7,20,260,7,20,260,6.60986328125,249
38,10.114472375670406,6.014828743499325,-402.7886736240619,-0.421835897161969,0.0,7,20,260,7,20,260,6.693727493286133,250
39,9.874218307950178,5.874482904148833,-392.61938127619595,-0.41118571546092025,0.0,7,20,260,7,20,260,6.743824243545532,250
40,9.61339572316853,5.744751171289955,-383.07231842115624,-0.401187187476856,0.0,7,20,260,7,20,260,6.776763916015625,250
41,9.405343302648655,5.623456004476559,-374.131358077345,-0.39182342360935246,0.0,7,20,260,7,20,260,6.860936880111694,249
42,9.19537841803362,5.5092460043127796,-365.77614176516084,-0.3830731026593,0.0,7,20,260,7,20,260,6.9108781814575195,250
43,9.0249032910335,5.395995088475401,-357.9822730397729,-0.3749106745135289,0.0,7,20,260,7,20,260,7.017592430114746,250
44,8.82093418584794,5.2890088641713735,-350.72154607073895,-0.36730659953358685,0.0,7,20,260,7,20,260,7.159451246261597,250
