package_nr,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,time_delta
40,0,0,0,4.466561275833643e-05,0.0,0
41,0,0,0,3.5444622851178485e-05,0.0,4006
42,0,0,0,2.8314334035043587e-05,0.0,4006
43,0,0,0,2.424028151115733e-05,0.0,4006
44,0,0,0,2.2113989534244878e-05,0.0,4005
45,0,0,0,1.929936766186812e-05,0.0,4006
46,0,0,0,1.4087720626601859e-05,0.0,4006
47,0,0,0,7.276374302966377e-06,0.0,4006
48,0,0,0,4.4795335601426804e-07,0.0,4006
49,0,0,0,4.859607103372029e-06,0.0,4005
50,0,0,0,8.463393596998513e-06,0.0,4006
51,0,0,0,9.473862442743664e-06,0.0,4006
52,0,0,0,8.687529625148102e-06,0.0,4006
53,0,0,0,8.006575613866033e-06,0.0,4006
54,0,0,0,9.272245619280245e-06,0.0,4005
55,0,0,0,1.2494404050918572e-05,0.0,4006
56,0,0,0,1.626315075701235e-05,0.0,4006
57,0,0,0,1.8639369904790587e-05,0.0,4006
58,0,0,0,2.0043776716855778e-05,0.0,4006
59,0,0,0,2.001557535404858e-05,0.0,4006
60,0,0,0,1.814642323742896e-05,0.0,4006
61,0,0,0,1.54810344126406e-05,0.0,4006
62,0,0,0,1.414664632841545e-05,0.0,4006
63,0,0,0,1.4999234677769449e-05,0.0,4006
0,0,0,0,1.6661362580868475e-05,0.0,4006
1,0,0,0,1.775932711942939e-05,0.0,4006
2,0,0,0,1.7877200749984648e-05,0.0,4005
3,0,0,0,1.748068835955158e-05,0.0,4005
4,0,0,0,1.5476933165968677e-05,0.0,4006
5,0,0,0,1.2235425309080637e-05,0.0,4006
6,0,0,0,9.347028199651548e-06,0.0,4006
7,0,0,0,9.019967411949368e-06,0.0,4006
8,0,0,0,1.0028368119117123e-05,0.0,4006
9,0,0,0,1.0299250240111936e-05,0.0,4006
10,0,0,0,9.963628700168482e-06,0.0,4006
11,0,0,0,9.362432798766399e-06,0.0,4006
12,0,0,0,7.797490188118896e-06,0.0,4006
13,0,0,0,5.268963594534081e-06,0.0,4005
14,0,0,0,2.222720356774318e-06,0.0,4006
15,0,0,0,9.942064857191787e-07,0.0,4006
16,0,0,0,1.5313869409547661e-06,0.0,4006
17,0,0,0,1.7429605744493461e-06,0.0,4006
18,0,0,0,1.3302150157551357e-06,0.0,4005
19,0,0,0,8.460693833896911e-07,0.0,4006
20,0,0,0,1.1522575610985236e-07,0.0,4006
21,0,0,0,1.6538188208862593e-06,0.0,4006
22,0,0,0,3.791830134497966e-06,0.0,4005
23,0,0,0,5.047427625138145e-06,0.0,4006
24,0,0,0,5.134838316802991e-06,0.0,4006
25,0,0,0,4.666076949726213e-06,0.0,4006
26,0,0,0,4.689122527902147e-06,0.0,4005
27,0,0,0,4.848465087220123e-06,0.0,4006
28,0,0,0,5.368348244666769e-06,0.0,4006
29,0,0,0,6.35536495543827e-06,0.0,4006
30,0,0,0,7.868147542848817e-06,0.0,4006
31,0,0,0,9.226888343697972e-06,0.0,4005
32,0,0,0,8.939908291913779e-06,0.0,4006
33,0,0,0,8.327754294401182e-06,0.0,4006
34,0,0,0,8.259555584275627e-06,0.0,4006
35,0,0,0,8.13107201540974e-06,0.0,4006
36,0,0,0,7.959982545663877e-06,0.0,4005
37,0,0,0,7.72444187598409e-06,0.0,4006
38,0,0,0,8.482157924684715e-06,0.0,4006
39,0,0,0,9.57982018895184e-06,0.0,4006
40,0,0,0,9.315405139360983e-06,0.0,4006
41,0,0,0,8.42642361193921e-06,0.0,4005
42,0,0,0,8.112062640036185e-06,0.0,4006
43,0,0,0,8.156675175980496e-06,0.0,4006
44,0,0,0,7.941107309628354e-06,0.0,4006
45,0,0,0,7.339205526872057e-06,0.0,4006
46,0,0,0,7.259703708524625e-06,0.0,4005
47,0,0,0,7.467581689879001e-06,0.0,4006
48,0,0,0,7.70367377136449e-06,0.0,4006
49,0,0,0,6.585153783035839e-06,0.0,4006
50,0,0,0,5.729179721364213e-06,0.0,4006
51,0,0,0,6.246066087533052e-06,0.0,4006
52,0,0,0,6.045216580842215e-06,0.0,4005
53,0,0,0,5.039334009771494e-06,0.0,4006
54,0,0,0,4.223223897265671e-06,0.0,4006
55,0,0,0,4.512641250593988e-06,0.0,4006
56,0,0,0,4.652003598089305e-06,0.0,4006
57,0,0,0,4.205735018884623e-06,0.0,4005
58,0,0,0,3.389774905754215e-06,0.0,4006
59,0,0,0,3.03972997223321e-06,0.0,4006
60,0,0,0,3.4356201961128343e-06,0.0,4006
61,0,0,0,2.453427624445263e-06,0.0,4006
62,0,0,0,1.4765713886638502e-06,0.0,4005
63,0,0,0,1.639911700830127e-06,0.0,4005
0,0,0,0,2.079080832989428e-06,0.0,4006
1,0,0,0,1.2132397816716602e-06,0.0,4005
2,0,0,0,4.352842547627194e-07,0.0,4005
3,0,0,0,2.7856614283134073e-07,0.0,4005
4,0,0,0,5.862814975119909e-07,0.0,4005
5,0,0,0,2.2979254020346202e-07,0.0,4006
