package_nr,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,time_delta
19,-90.83910369873047,-1.5057027339935303,-4.2852582931518555,-0.01841004751622677,0.0,0
20,-90.83910369873047,-1.4149904251098633,-4.305455207824707,-0.018402814865112305,0.0,4006
21,-90.79579162597656,-1.5520870685577393,-4.282754898071289,-0.01841878890991211,0.0,4006
22,-90.78524780273438,-1.6583651304244995,-4.261216640472412,-0.018428722396492958,0.0,4006
23,-90.8367691040039,-1.5360653400421143,-4.278293132781982,-0.018412351608276367,0.0,4006
24,-90.83558654785156,-1.416662335395813,-4.30288028717041,-0.01840098761022091,0.0,4006
25,-90.78992462158203,-1.5270709991455078,-4.287850856781006,-0.018408218398690224,0.0,4005
26,-90.78290557861328,-1.6630232334136963,-4.266223430633545,-0.018413225188851357,0.0,4006
27,-90.83558654785156,-1.564452052116394,-4.27851676940918,-0.018419742584228516,0.0,4006
28,-90.83558654785156,-1.419183611869812,-4.304239273071289,-0.018404006958007812,0.0,4006
29,-90.79461669921875,-1.492193341255188,-4.294976711273193,-0.01841139793395996,0.0,4006
30,-90.75714874267578,-1.6488343477249146,-4.264926910400391,-0.018426498398184776,0.0,4006
31,-90.80867004394531,-1.595047116279602,-4.2600812911987305,-0.01841656304895878,0.0,4006
32,-90.84379577636719,-1.4328449964523315,-4.292473316192627,-0.018400827422738075,0.0,4006
33,-90.81452178955078,-1.4661043882369995,-4.299921035766602,-0.01840718649327755,0.0,4006
34,-90.78759002685547,-1.629379391670227,-4.2763800621032715,-0.018426259979605675,0.0,4005
35,-90.82389068603516,-1.6148775815963745,-4.270845413208008,-0.01841902732849121,0.0,4006
36,-90.84495544433594,-1.4529168605804443,-4.294976711273193,-0.01839367486536503,0.0,4006
37,-90.81802368164062,-1.444217562675476,-4.301583766937256,-0.018401145935058594,0.0,4006
38,-90.79695129394531,-1.608923077583313,-4.277381420135498,-0.018422285094857216,0.0,4006
39,-90.82389068603516,-1.6351014375686646,-4.268118858337402,-0.018422206863760948,0.0,4007
40,-90.85901641845703,-1.4731943607330322,-4.294073581695557,-0.018402814865112305,0.0,4006
41,-90.8309097290039,-1.4276504516601562,-4.305070877075195,-0.018399715423583984,0.0,4006
42,-90.78640747070312,-1.5839070081710815,-4.281547546386719,-0.01841656304895878,0.0,4006
43,-90.81568145751953,-1.6495943069458008,-4.27410888671875,-0.01842077635228634,0.0,4006
44,-90.8414535522461,-1.499292254447937,-4.285714149475098,-0.01840376853942871,0.0,4006
45,-90.83207702636719,-1.4175832271575928,-4.304614543914795,-0.018395105376839638,0.0,4005
46,-90.80632019042969,-1.5572011470794678,-4.286026954650879,-0.018411874771118164,0.0,4006
47,-90.8051528930664,-1.656845211982727,-4.2659101486206055,-0.01841958425939083,0.0,4006
48,-90.8531494140625,-1.5282869338989258,-4.283827781677246,-0.01840321160852909,0.0,4007
49,-90.85081481933594,-1.412317156791687,-4.307887077331543,-0.01839160919189453,0.0,4007
50,-90.7992935180664,-1.5250146389007568,-4.29149866104126,-0.01841060258448124,0.0,4007
51,-90.78876495361328,-1.6544759273529053,-4.26727819442749,-0.018420854583382607,0.0,4007
52,-90.84379577636719,-1.5579700469970703,-4.280179977416992,-0.018403848633170128,0.0,4006
53,-90.85198974609375,-1.4188796281814575,-4.305606842041016,-0.018391290679574013,0.0,4006
54,-90.81568145751953,-1.5024930238723755,-4.298007488250732,-0.0184046421200037,0.0,4006
55,-90.7981185913086,-1.650121808052063,-4.27175760269165,-0.018418312072753906,0.0,4007
56,-90.8414535522461,-1.5884846448898315,-4.277220249176025,-0.018405437469482422,0.0,4007
57,-90.85198974609375,-1.4303237199783325,-4.307117938995361,-0.01839160919189453,0.0,4007
58,-90.8098373413086,-1.4723718166351318,-4.303479194641113,-0.018405118957161903,0.0,4007
59,-90.76884460449219,-1.6353338956832886,-4.268503189086914,-0.018417516723275185,0.0,4007
60,-90.81217956542969,-1.6147345304489136,-4.269781589508057,-0.01841115951538086,0.0,4006
61,-90.83794403076172,-1.4502346515655518,-4.299759864807129,-0.018390178680419922,0.0,4006
62,-90.8074951171875,-1.4525234699249268,-4.305383682250977,-0.018394390121102333,0.0,4007
63,-90.78173065185547,-1.620224118232727,-4.279205322265625,-0.01841282844543457,0.0,4007
0,-90.8098373413086,-1.6360223293304443,-4.270461082458496,-0.018411478027701378,0.0,4007
1,-90.85549926757812,-1.471593976020813,-4.295736312866211,-0.018392562866210938,0.0,4006
2,-90.83910369873047,-1.4346778392791748,-4.308566570281982,-0.018391450867056847,0.0,4006
3,-90.79227447509766,-1.5948235988616943,-4.283371448516846,-0.018410364165902138,0.0,4007
4,-90.81217956542969,-1.6500502824783325,-4.270693778991699,-0.01841370202600956,0.0,4007
5,-90.85081481933594,-1.5008926391601562,-4.28951358795166,-0.018392404541373253,0.0,4006
6,-90.84379577636719,-1.425674557685852,-4.30765438079834,-0.018388589844107628,0.0,4006
7,-90.80281066894531,-1.5693247318267822,-4.284963130950928,-0.018407026305794716,0.0,4006
8,-90.8051528930664,-1.6644001007080078,-4.267734527587891,-0.018414339050650597,0.0,4007
9,-90.84729766845703,-1.5314877033233643,-4.286482810974121,-0.01839812658727169,0.0,4007
10,-90.84379577636719,-1.4236897230148315,-4.3092546463012695,-0.01838715933263302,0.0,4006
11,-90.7981185913086,-1.5420913696289062,-4.298168182373047,-0.018402814865112305,0.0,4006
12,-90.79109954833984,-1.6617268323898315,-4.268118858337402,-0.018414974212646484,0.0,4006
13,-90.8566665649414,-1.5602588653564453,-4.2746453285217285,-0.018398841843008995,0.0,4007
14,-90.8531494140625,-1.4252185821533203,-4.3092546463012695,-0.018385091796517372,0.0,4007
15,-90.81334686279297,-1.515313982963562,-4.286787033081055,-0.018393278121948242,0.0,4007
16,-90.8039779663086,-1.659366488456726,-4.271989822387695,-0.018411001190543175,0.0,4007
17,-90.8496322631836,-1.5861958265304565,-4.284355163574219,-0.018402576446533203,0.0,4006
18,-90.85081481933594,-1.4333009719848633,-4.309549808502197,-0.018386444076895714,0.0,4006
19,-90.81568145751953,-1.4849603176116943,-4.311141490936279,-0.018393119797110558,0.0,4006
20,-90.80281066894531,-1.6442567110061646,-4.279115676879883,-0.01841052435338497,0.0,4007
21,-90.83794403076172,-1.6099244356155396,-4.274716854095459,-0.018403926864266396,0.0,4007
22,-90.86955261230469,-1.4451295137405396,-4.3043107986450195,-0.01838572882115841,0.0,4007
23,-90.81685638427734,-1.457861065864563,-4.306822776794434,-0.018390337005257607,0.0,4007
24,-90.77471160888672,-1.6241848468780518,-4.278364658355713,-0.018409013748168945,0.0,4007
25,-90.833251953125,-1.6305238008499146,-4.272374629974365,-0.018407663330435753,0.0,4006
26,-90.87890625,-1.4679372310638428,-4.2978644371032715,-0.018378496170043945,0.0,4006
27,-90.85784149169922,-1.436278223991394,-4.309934616088867,-0.018384933471679688,0.0,4007
