package_nr,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,time_delta
22,0.4136863648891449,1.8092036247253418,-636.5646362304688,-0.6666667461395264,0.0,0
23,0.45700904726982117,1.8040716648101807,-636.5646362304688,-0.6666667461395264,0.0,250
24,0.46871790289878845,1.8104195594787598,-636.5646362304688,-0.6666667461395264,0.0,250
25,0.4675469994544983,1.8227756023406982,-636.5646362304688,-0.6666667461395264,0.0,250
26,0.4780849516391754,1.8310189247131348,-636.5646362304688,-0.6666667461395264,0.0,250
27,0.48745203018188477,1.8159091472625732,-636.5646362304688,-0.6666667461395264,0.0,250
28,0.48393934965133667,1.7935395240783691,-636.5646362304688,-0.6666667461395264,0.0,249
29,0.41954079270362854,1.7802000045776367,-636.5646362304688,-0.6666667461395264,0.0,250
30,0.4171990156173706,1.7694354057312012,-636.5646362304688,-0.6666667461395264,0.0,250
31,0.41954079270362854,1.7612099647521973,-636.5646362304688,-0.6666667461395264,0.0,250
32,0.43827491998672485,1.7581522464752197,-636.5646362304688,-0.6666667461395264,0.0,250
33,0.44530022144317627,1.7521977424621582,-636.5646362304688,-0.6666667461395264,0.0,250
34,0.41485723853111267,1.7554879188537598,-636.5646362304688,-0.6666667461395264,0.0,250
35,0.3528004288673401,1.7602801322937012,-636.5646362304688,-0.6666667461395264,0.0,249
36,0.4218825399875641,1.7455637454986572,-636.5646362304688,-0.6666667461395264,0.0,250
37,0.4136863648891449,1.7412185668945312,-636.5646362304688,-0.6666667461395264,0.0,250
38,0.41134461760520935,1.7380893230438232,-636.5646362304688,-0.6666667461395264,0.0,250
39,0.4207116961479187,1.7439723014831543,-636.5646362304688,-0.6666667461395264,0.0,249
40,0.40431928634643555,1.7447948455810547,-636.5646362304688,-0.6666667461395264,0.0,250
41,0.4371040463447571,1.7404496669769287,-636.5646362304688,-0.6666667461395264,0.0,250
42,0.4523254930973053,1.7328143119812012,-636.5646362304688,-0.6666667461395264,0.0,250
43,0.43827491998672485,1.7112314701080322,-636.5646362304688,-0.6666667461395264,0.0,250
44,0.4371040463447571,1.6744494438171387,-636.5646362304688,-0.6666667461395264,0.0,250
45,0.40431928634643555,1.6561388969421387,-636.5646362304688,-0.6666667461395264,0.0,250
46,0.4628634452819824,1.6432642936706543,-636.5646362304688,-0.6666667461395264,0.0,250
47,0.4171990156173706,1.6290664672851562,-636.5646362304688,-0.6666667461395264,0.0,250
48,0.4101737439632416,1.6215205192565918,-636.5646362304688,-0.6666667461395264,0.0,260
49,0.4207116961479187,1.6138672828674316,-636.5646362304688,-0.6666667461395264,0.0,240
50,0.4406166970729828,1.6051054000854492,-636.5646362304688,-0.6666667461395264,0.0,260
51,0.44295844435691833,1.5965580940246582,-636.5646362304688,-0.6666667461395264,0.0,240
52,0.41485723853111267,1.5923559665679932,-636.5646362304688,-0.6666667461395264,0.0,250
53,0.41602814197540283,1.6024231910705566,-636.5646362304688,-0.6666667461395264,0.0,250
54,0.46169257164001465,1.6241669654846191,-636.5646362304688,-0.6666667461395264,0.0,249
55,0.48393934965133667,1.6429424285888672,-636.5646362304688,-0.6666667461395264,0.0,251
56,0.46871790289878845,1.6607880592346191,-636.5646362304688,-0.6666667461395264,0.0,250
57,0.4441293179988861,1.6726970672607422,-636.5646362304688,-0.6666667461395264,0.0,250
58,0.4558381736278534,1.6954421997070312,-636.5646362304688,-0.6666667461395264,0.0,250
59,0.4663761258125305,1.7364084720611572,-636.5646362304688,-0.6666667461395264,0.0,250
60,0.4640343487262726,1.7805039882659912,-636.5646362304688,-0.6666667461395264,0.0,250
61,0.46169257164001465,1.8220782279968262,-636.5646362304688,-0.6666667461395264,0.0,250
62,0.4406166970729828,1.8643498420715332,-636.5646362304688,-0.6666667461395264,0.0,250
63,0.4523254930973053,1.8931925296783447,-636.5646362304688,-0.6666667461395264,0.0,250
0,0.4663761258125305,1.9015073776245117,-636.5646362304688,-0.6666667461395264,0.0,250
1,0.4663761258125305,1.9101977348327637,-636.5646362304688,-0.6666667461395264,0.0,249
2,0.4675469994544983,1.9349277019500732,-636.5646362304688,-0.6666667461395264,0.0,250
3,0.49213552474975586,1.9498050212860107,-636.5646362304688,-0.6666667461395264,0.0,250
4,0.48042672872543335,1.9562780857086182,-636.5646362304688,-0.6666667461395264,0.0,250
5,0.49564820528030396,1.9524693489074707,-636.5646362304688,-0.6666667461395264,0.0,249
6,0.48042672872543335,1.9360721111297607,-636.5646362304688,-0.6666667461395264,0.0,250
7,0.4171990156173706,1.9150793552398682,-636.5646362304688,-0.6666667461395264,0.0,260
8,0.44530022144317627,1.9105017185211182,-636.5646362304688,-0.6666667461395264,0.0,239
9,0.4675469994544983,1.9172251224517822,-636.5646362304688,-0.6666667461395264,0.0,250
10,0.46169257164001465,1.9289731979370117,-636.5646362304688,-0.6666667461395264,0.0,250
11,0.42656609416007996,1.9315659999847412,-636.5646362304688,-0.6666667461395264,0.0,250
12,0.41485723853111267,1.9437789916992188,-636.5646362304688,-0.6666667461395264,0.0,250
13,0.5319455862045288,1.9586563110351562,-636.5646362304688,-0.6666667461395264,0.0,250
14,0.49916085600852966,1.9671320915222168,-636.5646362304688,-0.6666667461395264,0.0,251
15,0.4523254930973053,1.9690275192260742,-636.5646362304688,-0.6666667461395264,0.0,250
16,0.4523254930973053,1.9706368446350098,-636.5646362304688,-0.6666667461395264,0.0,249
17,0.4406166970729828,1.9761979579925537,-636.5646362304688,-0.6666667461395264,0.0,250
18,0.4406166970729828,1.9820809364318848,-636.5646362304688,-0.6666667461395264,0.0,250
19,0.48042672872543335,1.9838333129882812,-636.5646362304688,-0.6666667461395264,0.0,250
20,0.5307746529579163,1.9816160202026367,-636.5646362304688,-0.6666667461395264,0.0,249
21,0.5331164598464966,1.9793987274169922,-636.5646362304688,-0.6666667461395264,0.0,250
22,0.5026735067367554,1.9682765007019043,-636.5646362304688,-0.6666667461395264,0.0,250
23,0.4558381736278534,1.9720673561096191,-636.5646362304688,-0.6666667461395264,0.0,250
24,0.4324204921722412,1.9672036170959473,-636.5646362304688,-0.6666667461395264,0.0,250
25,0.44647109508514404,1.9621610641479492,-636.5646362304688,-0.6666667461395264,0.0,250
26,0.45466727018356323,1.9593358039855957,-636.5646362304688,-0.6666667461395264,0.0,250
27,0.4698887765407562,1.9598007202148438,-636.5646362304688,-0.6666667461395264,0.0,250
28,0.4628634452819824,1.9511818885803223,-636.5646362304688,-0.6666667461395264,0.0,250
29,0.46169257164001465,1.9105017185211182,-636.5646362304688,-0.6666667461395264,0.0,250
30,0.48393934965133667,1.8697679042816162,-636.5646362304688,-0.6666667461395264,0.0,250
31,0.5342873334884644,1.8526017665863037,-636.5646362304688,-0.6666667461395264,0.0,260
32,0.5483379364013672,1.8464148044586182,-636.5646362304688,-0.6666667461395264,0.0,240
33,0.48745203018188477,1.8544256687164307,-636.5646362304688,-0.6666667461395264,0.0,250
34,0.4698887765407562,1.8647253513336182,-636.5646362304688,-0.6666667461395264,0.0,250
35,0.45817995071411133,1.8591642379760742,-636.5646362304688,-0.6666667461395264,0.0,250
36,0.5249202847480774,1.8457353115081787,-636.5646362304688,-0.6666667461395264,0.0,251
37,0.5260911583900452,1.8282651901245117,-636.5646362304688,-0.6666667461395264,0.0,250
38,0.4862811267375946,1.8094182014465332,-636.5646362304688,-0.6666667461395264,0.0,250
39,0.46871790289878845,1.7911076545715332,-636.5646362304688,-0.6666667461395264,0.0,249
40,0.4558381736278534,1.7678439617156982,-636.5646362304688,-0.6666667461395264,0.0,250
41,0.48393934965133667,1.7444193363189697,-636.5646362304688,-0.6666667461395264,0.0,250
42,0.4745723009109497,1.7248749732971191,-636.5646362304688,-0.6666667461395264,0.0,250
43,0.493306428194046,1.7103910446166992,-636.5646362304688,-0.6666667461395264,0.0,250
44,0.5155532360076904,1.6959786415100098,-636.5646362304688,-0.6666667461395264,0.0,250
45,0.493306428194046,1.6847491264343262,-636.5646362304688,-0.6666667461395264,0.0,250
46,0.4780849516391754,1.6667425632476807,-636.5646362304688,-0.6666667461395264,0.0,250
47,0.48393934965133667,1.6534030437469482,-636.5646362304688,-0.6666667461395264,0.0,250
48,0.5026735067367554,1.6484320163726807,-636.5646362304688,-0.6666667461395264,0.0,250
49,0.4745723009109497,1.6526341438293457,-636.5646362304688,-0.6666667461395264,0.0,250
50,0.4792558550834656,1.6605019569396973,-636.5646362304688,-0.6666667461395264,0.0,250
51,0.5600467920303345,1.6584992408752441,-636.5646362304688,-0.6666667461395264,0.0,250
52,0.5038443803787231,1.6595005989074707,-636.5646362304688,-0.6666667461395264,0.0,260
53,0.5214076042175293,1.6685128211975098,-636.5646362304688,-0.6666667461395264,0.0,239
54,0.5260911583900452,1.6837656497955322,-636.5646362304688,-0.6666667461395264,0.0,249
55,0.5202367901802063,1.7000913619995117,-636.5646362304688,-0.6666667461395264,0.0,250
56,0.5167241096496582,1.7158091068267822,-636.5646362304688,-0.6666667461395264,0.0,249
57,0.4745723009109497,1.7317414283752441,-636.5646362304688,-0.6666667461395264,0.0,250
58,0.5366291403770447,1.7617285251617432,-636.5646362304688,-0.6666667461395264,0.0,249
59,0.5026735067367554,1.7863869667053223,-636.5646362304688,-0.6666667461395264,0.0,250
60,0.48042672872543335,1.8064498901367188,-636.5646362304688,-0.6666667461395264,0.0,250
61,0.4862811267375946,1.8175005912780762,-636.5646362304688,-0.6666667461395264,0.0,250
62,0.4663761258125305,1.8217921257019043,-636.5646362304688,-0.6666667461395264,0.0,250
63,0.4792558550834656,1.8207192420959473,-636.5646362304688,-0.6666667461395264,0.0,250
0,0.5483379364013672,1.8242955207824707,-636.5646362304688,-0.6666667461395264,0.0,250
1,0.5202367901802063,1.8474161624908447,-636.5646362304688,-0.6666667461395264,0.0,250
2,0.5073570609092712,1.8727362155914307,-636.5646362304688,-0.6666667461395264,0.0,250
3,0.508527934551239,1.9005954265594482,-636.5646362304688,-0.6666667461395264,0.0,250
4,0.5272620320320129,1.9385933876037598,-636.5646362304688,-0.6666667461395264,0.0,250
5,0.5319455862045288,1.9733011722564697,-636.5646362304688,-0.6666667461395264,0.0,249
6,0.5167241096496582,1.9932925701141357,-636.5646362304688,-0.6666667461395264,0.0,250
7,0.5050152540206909,2.003967761993408,-636.5646362304688,-0.6666667461395264,0.0,250
8,0.5155532360076904,2.0207583904266357,-636.5646362304688,-0.6666667461395264,0.0,250
9,0.5155532360076904,2.0421981811523438,-636.5646362304688,-0.6666667461395264,0.0,249
10,0.5424835085868835,2.066606283187866,-636.5646362304688,-0.6666667461395264,0.0,256
11,0.48393934965133667,2.0754575729370117,-636.5646362304688,-0.6666667461395264,0.0,243
12,0.5108696818351746,2.0762085914611816,-636.5646362304688,-0.6666667461395264,0.0,250
13,0.5050152540206909,2.0693421363830566,-636.5646362304688,-0.6666667461395264,0.0,251
14,0.5050152540206909,2.0624756813049316,-636.5646362304688,-0.6666667461395264,0.0,250
15,0.5214076042175293,2.052175998687744,-636.5646362304688,-0.6666667461395264,0.0,250
16,0.5249202847480774,2.0370125770568848,-636.5646362304688,-0.6666667461395264,0.0,250
17,0.5284329652786255,2.0333468914031982,-636.5646362304688,-0.6666667461395264,0.0,250
18,0.5167241096496582,2.0292162895202637,-636.5646362304688,-0.6666667461395264,0.0,250
19,0.5284329652786255,2.0133554935455322,-636.5646362304688,-0.6666667461395264,0.0,250
20,0.5096988081932068,2.0006775856018066,-636.5646362304688,-0.6666667461395264,0.0,249
21,0.5495088696479797,1.9838333129882812,-636.5646362304688,-0.6666667461395264,0.0,250
22,0.5459961891174316,1.9701004028320312,-636.5646362304688,-0.6666667461395264,0.0,250
23,0.508527934551239,1.9503235816955566,-636.5646362304688,-0.6666667461395264,0.0,250
24,0.5600467920303345,1.9314944744110107,-636.5646362304688,-0.6666667461395264,0.0,250
25,0.5214076042175293,1.9127905368804932,-636.5646362304688,-0.6666667461395264,0.0,250
26,0.5155532360076904,1.8937289714813232,-636.5646362304688,-0.6666667461395264,0.0,250
27,0.5284329652786255,1.8775463104248047,-636.5646362304688,-0.6666667461395264,0.0,250
28,0.5565341114997864,1.8779397010803223,-636.5646362304688,-0.6666667461395264,0.0,261
29,0.5214076042175293,1.8850922584533691,-636.5646362304688,-0.6666667461395264,0.0,240
30,0.4897938072681427,1.8961787223815918,-636.5646362304688,-0.6666667461395264,0.0,256
31,0.5108696818351746,1.9075334072113037,-636.5646362304688,-0.6666667461395264,0.0,243
32,0.5155532360076904,1.9097506999969482,-636.5646362304688,-0.6666667461395264,0.0,250
33,0.5436543822288513,1.9030451774597168,-636.5646362304688,-0.6666667461395264,0.0,251
34,0.5436543822288513,1.9021153450012207,-636.5646362304688,-0.6666667461395264,0.0,250
35,0.5682429671287537,1.9132554531097412,-636.5646362304688,-0.6666667461395264,0.0,250
36,0.5963441729545593,1.9259333610534668,-636.5646362304688,-0.6666667461395264,0.0,250
37,0.5506796836853027,1.9189774990081787,-636.5646362304688,-0.6666667461395264,0.0,250
38,0.5307746529579163,1.9094467163085938,-636.5646362304688,-0.6666667461395264,0.0,250
39,0.5155532360076904,1.8992185592651367,-636.5646362304688,-0.6666667461395264,0.0,251
40,0.5506796836853027,1.9060134887695312,-636.5646362304688,-0.6666667461395264,0.0,249
41,0.5448253154754639,1.9276678562164307,-636.5646362304688,-0.6666667461395264,0.0,250
42,0.5272620320320129,1.9582629203796387,-636.5646362304688,-0.6666667461395264,0.0,250
43,0.5448253154754639,1.9876420497894287,-636.5646362304688,-0.6666667461395264,0.0,249
44,0.6162492036819458,2.0026087760925293,-636.5646362304688,-0.6666667461395264,0.0,250
45,0.5729264616966248,2.0074009895324707,-636.5646362304688,-0.6666667461395264,0.0,250
46,0.5740973949432373,1.9926667213439941,-636.5646362304688,-0.6666667461395264,0.0,250
47,0.5506796836853027,1.9774317741394043,-636.5646362304688,-0.6666667461395264,0.0,250
48,0.5495088696479797,1.9757330417633057,-636.5646362304688,-0.6666667461395264,0.0,260
49,0.5260911583900452,1.9904673099517822,-636.5646362304688,-0.6666667461395264,0.0,239
50,0.5319455862045288,2.0205259323120117,-636.5646362304688,-0.6666667461395264,0.0,257
51,0.5740973949432373,2.0489752292633057,-636.5646362304688,-0.6666667461395264,0.0,243
52,0.5776100158691406,2.072632312774658,-636.5646362304688,-0.6666667461395264,0.0,249
53,0.5506796836853027,2.078425884246826,-636.5646362304688,-0.6666667461395264,0.0,250
54,0.579951822757721,2.0765304565429688,-636.5646362304688,-0.6666667461395264,0.0,249
55,0.5740973949432373,2.0805001258850098,-636.5646362304688,-0.6666667461395264,0.0,250
56,0.5553632378578186,2.095520496368408,-636.5646362304688,-0.6666667461395264,0.0,250
57,0.5916606187820435,2.1070361137390137,-636.5646362304688,-0.6666667461395264,0.0,250
58,0.5389708876609802,2.099025249481201,-636.5646362304688,-0.6666667461395264,0.0,249
59,0.5565341114997864,2.098184823989868,-636.5646362304688,-0.6666667461395264,0.0,250
60,0.6021985411643982,2.1039068698883057,-636.5646362304688,-0.6666667461395264,0.0,249
61,0.5869771242141724,2.105516195297241,-636.5646362304688,-0.6666667461395264,0.0,250
62,0.540141761302948,2.1091103553771973,-636.5646362304688,-0.6666667461395264,0.0,250
63,0.5424835085868835,2.1289408206939697,-636.5646362304688,-0.6666667461395264,0.0,250
0,0.5565341114997864,2.1559596061706543,-636.5646362304688,-0.6666667461395264,0.0,250
1,0.5307746529579163,2.1795272827148438,-636.5646362304688,-0.6666667461395264,0.0,250
2,0.5459961891174316,2.202880382537842,-636.5646362304688,-0.6666667461395264,0.0,250
3,0.571755588054657,2.2277355194091797,-636.5646362304688,-0.6666667461395264,0.0,250
4,0.5635594129562378,2.2507846355438232,-636.5646362304688,-0.6666667461395264,0.0,259
5,0.584635317325592,2.2693276405334473,-636.5646362304688,-0.6666667461395264,0.0,241
6,0.5436543822288513,2.2915899753570557,-636.5646362304688,-0.6666667461395264,0.0,257
7,0.6068820953369141,2.3322701454162598,-636.5646362304688,-0.6666667461395264,0.0,243
8,0.5858061909675598,2.3624002933502197,-636.5646362304688,-0.6666667461395264,0.0,250
9,0.579951822757721,2.370178699493408,-636.5646362304688,-0.6666667461395264,0.0,251
10,0.5740973949432373,2.3585915565490723,-636.5646362304688,-0.6666667461395264,0.0,250
11,0.5272620320320129,2.3402810096740723,-636.5646362304688,-0.6666667461395264,0.0,249
12,0.5073570609092712,2.3373663425445557,-636.5646362304688,-0.6666667461395264,0.0,250
13,0.5495088696479797,2.3307323455810547,-636.5646362304688,-0.6666667461395264,0.0,250
14,0.5541923642158508,2.3002266883850098,-636.5646362304688,-0.6666667461395264,0.0,250
15,0.5541923642158508,2.2691667079925537,-636.5646362304688,-0.6666667461395264,0.0,251
16,0.571755588054657,2.239716053009033,-636.5646362304688,-0.6666667461395264,0.0,250
17,0.5577050447463989,2.2195816040039062,-636.5646362304688,-0.6666667461395264,0.0,250
18,0.5225784778594971,2.2077441215515137,-636.5646362304688,-0.6666667461395264,0.0,250
19,0.5366291403770447,2.200198173522949,-636.5646362304688,-0.6666667461395264,0.0,250
20,0.5752682685852051,2.198302745819092,-636.5646362304688,-0.6666667461395264,0.0,249
21,0.5600467920303345,2.2092819213867188,-636.5646362304688,-0.6666667461395264,0.0,250
22,0.540141761302948,2.2283434867858887,-636.5646362304688,-0.6666667461395264,0.0,250
23,0.5834644436836243,2.2366583347320557,-636.5646362304688,-0.6666667461395264,0.0,250
24,0.5378000140190125,2.2327065467834473,-636.5646362304688,-0.6666667461395264,0.0,260
25,0.5436543822288513,2.216613292694092,-636.5646362304688,-0.6666667461395264,0.0,240
26,0.5986859202384949,2.197068929672241,-636.5646362304688,-0.6666667461395264,0.0,256
